,symbol,price,market cap,exchange,currency,sector,industry,company_url
2796,JKS,46.93,47.82,NYSE,USD,Technology,Solar,https://www.jinkosolar.com
2797,JOEY,0.0004,0.0004,Other OTC,USD,Consumer Defensive,Household & Personal Products,https://www.joeynewyork.com
2798,JBT,102.35,102.33,NYSE,USD,Industrials,Specialty Industrial Machinery,https://www.jbtc.com
2799,BTO,28.87,28.88,NYSE,USD,Financial Services,Asset Management,https://www.jhfunds.com/Fund/Overview.aspx?ProductType=ClosedEnd&FundID=GC09&ClassCode=CE&BackToFundTableType=Price
2800,JMSB,21.20,20.58,NasdaqCM,USD,Financial Services,Banks—Regional,https://www.johnmarshallbank.com
2801,JNJ,165.15,165.61,NYSE,USD,Healthcare,Drug Manufacturers—General,https://www.jnj.com
2802,JCI,55.98,55.70,NYSE,USD,Industrials,Building Products & Equipment,https://www.johnsoncontrols.com
2803,JOUT,60.36,60.64,NasdaqGS,USD,Consumer Cyclical,Leisure,https://www.johnsonoutdoors.com
2804,JLL,138.14,138.22,NYSE,USD,Real Estate,Real Estate Services,https://www.us.jll.com
2805,JSDA,0.2353,0.2353,Other OTC,USD,Consumer Defensive,Beverages—Non-Alcoholic,https://www.jonessoda.com
2806,JNCE,1.8900,1.9000,NasdaqGS,USD,Healthcare,Biotechnology,https://jouncetx.com
2807,JPM,127.47,127.61,NYSE,USD,Financial Services,Banks—Diversified,https://www.jpmorganchase.com
2808,JRS,7.43,7.35,NYSE,USD,Financial Services,Asset Management,https://www.nuveen.com/CEF/FundDetail.aspx?FundCode=JRS
2809,JRJRQ,0.0000,0.0000,Other OTC,USD,Consumer Cyclical,Internet Retail,https://www.jrjrnetworks.com
2810,JFIL,0.0240,0.0240,Other OTC,USD,Industrials,Specialty Business Services,https://www.acropass-shop.com
2811,JMIA,3.0200,3.0100,NYSE,USD,Consumer Cyclical,Internet Retail,https://group.jumia.com
2812,JUVF,15.32,15.05,Other OTC,USD,Financial Services,Banks—Regional,https://www.jvbonline.com
2813,JNPR,33.69,34.31,NYSE,USD,Technology,Communication Equipment,https://www.juniper.net
2814,KAI,191.77,192.67,NYSE,USD,Industrials,Specialty Industrial Machinery,https://www.kadant.com
2815,KLR,1.6600,1.7100,NYSE,USD,Technology,Software—Application,https://www.kaleyra.com
2816,KNOS,0.0114,0.0114,Other OTC,USD,Industrials,Pollution & Treatment Controls,https://kronosati.co
2817,KALU,70.82,70.05,NasdaqGS,USD,Basic Materials,Aluminum,https://www.kaiseraluminum.com
2818,KXIN,0.4501,0.4400,NasdaqCM,USD,Consumer Cyclical,Auto & Truck Dealerships,https://ir.kaixin.com
2819,KALA,13.80,13.71,NasdaqCM,USD,Healthcare,Drug Manufacturers—Specialty & Generic,https://www.kalarx.com
2820,KZR,2.5100,2.3600,NasdaqGS,USD,Healthcare,Biotechnology,https://www.kezarlifesciences.com
2821,KLDO,0.0002,0.0002,Other OTC,USD,Healthcare,Biotechnology,https://kaleido.com
2822,KALY,0.0000,0.0000,Other OTC,USD,Healthcare,Drug Manufacturers—Specialty & Generic,https://www.kali-extracts.com
2823,KALO,0.0012,0.0012,Other OTC,USD,Healthcare,Health Information Services,https://www.kalloinc.ca
2824,KALV,7.98,7.73,NasdaqGM,USD,Healthcare,Biotechnology,https://www.kalvista.com
2825,KMDA,4.6200,4.6800,NasdaqGS,USD,Healthcare,Drug Manufacturers—Specialty & Generic,https://www.kamada.com
2826,KAMN,21.99,22.11,NYSE,USD,Industrials,Aerospace & Defense,https://www.kaman.com
2827,KNDI,2.6500,2.6650,NasdaqGS,USD,Consumer Cyclical,Auto Parts,https://www.kandivehicle.com
2828,KCLI,22.25,22.25,Other OTC,USD,Financial Services,Insurance—Life,https://www.kclife.com
2829,KAR,13.00,12.77,NYSE,USD,Consumer Cyclical,Auto & Truck Dealerships,https://www.karglobal.com
2830,KRTX,178.46,176.32,NasdaqGM,USD,Healthcare,Biotechnology,https://www.karunatx.com
2831,KPTI,4.1000,3.9100,NasdaqGS,USD,Healthcare,Biotechnology,https://www.karyopharm.com
2832,KA,3.2500,3.4400,NasdaqCM,USD,Healthcare,Biotechnology,https://kinetabio.com
2833,KTHN,20.62,20.62,Other OTC,USD,Financial Services,Banks—Regional,https://www.katahdintrust.com
2834,FUND,7.96,7.97,NasdaqGM,USD,Financial Services,Asset Management,https://sprottfocustrust.com
2835,KOF,81.88,81.59,NYSE,USD,Consumer Defensive,Beverages—Non-Alcoholic,https://www.coca-colafemsa.com
2836,KAYS,0.0644,0.0644,Other OTC,USD,Healthcare,Drug Manufacturers—Specialty & Generic,https://www.kayaholdings.com
2837,KYN,8.54,8.58,NYSE,USD,Financial Services,Asset Management,https://www.kaynefunds.com/kyn/fact-sheet/
2838,KZIA,1.1300,1.1250,NasdaqCM,USD,Healthcare,Biotechnology,https://www.kaziatherapeutics.com
2839,KB,35.66,36.39,NYSE,USD,Financial Services,Banks—Regional,https://www.kbfg.com
2840,KBH,38.40,39.88,NYSE,USD,Consumer Cyclical,Residential Construction,https://www.kbhome.com
